RedFighter,BlueFighter,RedWins,BlueWins,RedLosses,BlueLosses,RedCurrentWinStreak,BlueCurrentWinStreak,RedOdds,BlueOdds,RedAvgSigStrLanded,BlueAvgSigStrLanded,RedAvgSubAtt,BlueAvgSubAtt,RedAvgTDLanded,BlueAvgTDLanded,Winner_Red
Israel Adesanya,Nassourdine Imavov,24,15,4,4,0,3,-175,110,4.0,4.51,0.1,1.2,0.05,0.88,
Shara Magomedov,Michael Venom Page,15,22,0,3,4,0,-190,150,6.82,2.38,0,0,0,0.44,
Sergei Pavlovich,Jairzinho Rozenstruik,18,15,3,5,0,2,-300,240,5.86,3.75,0,0,0,0,
Said Nurmagomedov,Vinicius Oliveira ,18,21,3,3,1,3,-180,140,3.55,5.87,1.4,0,1.01,1.38,
Ikram Aliskerov ,Andre Muniz,15,24,2,6,0,1,-590,440,7.03,1.97,1.8,1.2,1.82,4.23,
Muhammadjon Naimov,Kaan Ofli,11,12,3,3,0,0,-250,200,3.18,1.85,0,0,1.80,0,
