RedFighter,BlueFighter,RedWins,BlueWins,RedLosses,BlueLosses,RedCurrentWinStreak,BlueCurrentWinStreak,RedOdds,BlueOdds,RedAvgSigStrLanded,BlueAvgSigStrLanded,RedAvgSubAtt,BlueAvgSubAtt,RedAvgTDLanded,BlueAvgTDLanded,Winner_Red
Islam Makachev,Arman Tsarukyan,26,22,1,3,14,4,-425,315,2,6.5,3,7.9,1,1
Merab Dvalisvilli,Umar Nurmagomedov,18,18,4,0,11,6,260,-340,4,3.5,4,4.6,0,3
Jiri Prochazka,Jamahal Hill,30,12,5,2,0,0,-105,-115,5,3.8,7,1.8,0,2
Beneil Dariush,Renato Moicano,22,20,6,5,0,4,155,-185,3,7.8,4,4.2,0,9
Kevin Holland,Reiner de Ridder,26,18,12,2,0,1,-105,-120,4,2.4,3,2.4,0,6
